data,dove,titolo,link
2017/07/24,SkyTG24,"Incendi, le mappe per restare aggiornati sulla situazione",http://tg24.sky.it/cronaca/2017/07/19/incendi-italia-mappa.html
2017/07/19,Adnkros,"Italia in fiamme, ecco la mappa degli incendi",http://www.calabrianews.it/emergenza-incendi-calabria-la-regione-chiesto-lo-calamita-naturale/
